板块名称,主力资金净流入(亿),时间,趋势
彩蝶实业,0.00,2026-05-14,↓ 净流出
ST文峰,0.00,2026-05-14,↓ 净流出
健之佳,0.00,2026-05-14,↓ 净流出
李子园,0.00,2026-05-14,↓ 净流出
瑞贝卡,0.00,2026-05-14,↓ 净流出
威帝股份,0.00,2026-05-14,↓ 净流出
北方股份,0.00,2026-05-14,↓ 净流出
苏农银行,0.00,2026-05-14,↓ 净流出
金自天正,0.00,2026-05-14,↓ 净流出
安正时尚,-0.00,2026-05-14,↓ 净流出
拱东医疗,-0.00,2026-05-14,↓ 净流出
恒顺醋业,-0.00,2026-05-14,↓ 净流出
爱丽家居,-0.00,2026-05-14,↓ 净流出
欧普照明,-0.00,2026-05-14,↓ 净流出
ST云城,-0.00,2026-05-14,↓ 净流出
国脉文化,-0.00,2026-05-14,↓ 净流出
华菱精工,-0.00,2026-05-14,↓ 净流出
望变电气,-0.00,2026-05-14,↓ 净流出
ST金顶,-0.00,2026-05-14,↓ 净流出
国发股份,-0.00,2026-05-14,↓ 净流出
紫江企业,-0.00,2026-05-14,↓ 净流出
扬州金泉,-0.00,2026-05-14,↓ 净流出
确成股份,-0.00,2026-05-14,↓ 净流出
*ST瑞茂,-0.00,2026-05-14,↓ 净流出
三角轮胎,-0.00,2026-05-14,↓ 净流出
永冠新材,-0.00,2026-05-14,↓ 净流出
华鼎股份,-0.00,2026-05-14,↓ 净流出
苏盐井神,-0.00,2026-05-14,↓ 净流出
五芳斋,-0.00,2026-05-14,↓ 净流出
其他能源发电,-0.00,2026-05-14,↓ 净流出
桃李面包,-0.00,2026-05-14,↓ 净流出
宁波远洋,-0.00,2026-05-14,↓ 净流出
重庆港,-0.00,2026-05-14,↓ 净流出
京城股份,-0.00,2026-05-14,↓ 净流出
佳禾食品,-0.00,2026-05-14,↓ 净流出
百合股份,-0.00,2026-05-14,↓ 净流出
长鸿高科,-0.00,2026-05-14,↓ 净流出
郑州煤电,-0.00,2026-05-14,↓ 净流出
*ST莫高,-0.00,2026-05-14,↓ 净流出
第一医药,-0.00,2026-05-14,↓ 净流出
厨房电器,-0.00,2026-05-14,↓ 净流出
*ST尔雅,-0.00,2026-05-14,↓ 净流出
银都股份,-0.00,2026-05-14,↓ 净流出
绿田机械,-0.00,2026-05-14,↓ 净流出
神马股份,-0.01,2026-05-14,↓ 净流出
技源集团,-0.01,2026-05-14,↓ 净流出
天洋新材,-0.01,2026-05-14,↓ 净流出
新通联,-0.01,2026-05-14,↓ 净流出
航民股份,-0.01,2026-05-14,↓ 净流出
哈空调,-0.01,2026-05-14,↓ 净流出
亚光股份,-0.01,2026-05-14,↓ 净流出
天龙股份,-0.01,2026-05-14,↓ 净流出
文投控股,-0.01,2026-05-14,↓ 净流出
福莱蒽特,-0.01,2026-05-14,↓ 净流出
六国化工,-0.01,2026-05-14,↓ 净流出
热威股份,-0.01,2026-05-14,↓ 净流出
步长制药,-0.01,2026-05-14,↓ 净流出
渤海轮渡,-0.01,2026-05-14,↓ 净流出
华阳新材,-0.01,2026-05-14,↓ 净流出
上海建科,-0.01,2026-05-14,↓ 净流出
四川成渝,-0.01,2026-05-14,↓ 净流出
奥普科技,-0.01,2026-05-14,↓ 净流出
南宁百货,-0.01,2026-05-14,↓ 净流出
华生科技,-0.01,2026-05-14,↓ 净流出
巍华新材,-0.01,2026-05-14,↓ 净流出
豫园股份,-0.01,2026-05-14,↓ 净流出
嘉华股份,-0.01,2026-05-14,↓ 净流出
*ST艾艾,-0.01,2026-05-14,↓ 净流出
上海亚虹,-0.01,2026-05-14,↓ 净流出
曙光股份,-0.01,2026-05-14,↓ 净流出
倍加洁,-0.01,2026-05-14,↓ 净流出
威奥股份,-0.01,2026-05-14,↓ 净流出
上海汽配,-0.01,2026-05-14,↓ 净流出
无锡银行,-0.01,2026-05-14,↓ 净流出
神奇制药,-0.01,2026-05-14,↓ 净流出
莎普爱思,-0.01,2026-05-14,↓ 净流出
元祖股份,-0.01,2026-05-14,↓ 净流出
丸美生物,-0.01,2026-05-14,↓ 净流出
设计总院,-0.01,2026-05-14,↓ 净流出
浙江鼎力,-0.01,2026-05-14,↓ 净流出
太平鸟,-0.01,2026-05-14,↓ 净流出
利柏特,-0.01,2026-05-14,↓ 净流出
ST东时,-0.01,2026-05-14,↓ 净流出
梅轮电梯,-0.01,2026-05-14,↓ 净流出
皖通高速,-0.01,2026-05-14,↓ 净流出
摩托车,-0.01,2026-05-14,↓ 净流出
苏州龙杰,-0.01,2026-05-14,↓ 净流出
曲江文旅,-0.01,2026-05-14,↓ 净流出
恒尚节能,-0.01,2026-05-14,↓ 净流出
飞科电器,-0.01,2026-05-14,↓ 净流出
*ST星农,-0.01,2026-05-14,↓ 净流出
宁波联合,-0.01,2026-05-14,↓ 净流出
华丽家族,-0.01,2026-05-14,↓ 净流出
常青股份,-0.01,2026-05-14,↓ 净流出
四方新材,-0.01,2026-05-14,↓ 净流出
珍宝岛,-0.01,2026-05-14,↓ 净流出
ST智知,-0.01,2026-05-14,↓ 净流出
博通集成,-0.01,2026-05-14,↓ 净流出
蓝天燃气,-0.01,2026-05-14,↓ 净流出
恒兴新材,-0.01,2026-05-14,↓ 净流出
金鹰股份,-0.01,2026-05-14,↓ 净流出
共创草坪,-0.01,2026-05-14,↓ 净流出
长春一东,-0.01,2026-05-14,↓ 净流出
奇精机械,-0.01,2026-05-14,↓ 净流出
恒林股份,-0.01,2026-05-14,↓ 净流出
巴比食品,-0.01,2026-05-14,↓ 净流出
柳钢股份,-0.01,2026-05-14,↓ 净流出
*ST华微,-0.01,2026-05-14,↓ 净流出
西宁特钢,-0.01,2026-05-14,↓ 净流出
博通股份,-0.01,2026-05-14,↓ 净流出
力聚热能,-0.01,2026-05-14,↓ 净流出
江河集团,-0.01,2026-05-14,↓ 净流出
上海三毛,-0.02,2026-05-14,↓ 净流出
汇通集团,-0.02,2026-05-14,↓ 净流出
秦安股份,-0.02,2026-05-14,↓ 净流出
台华新材,-0.02,2026-05-14,↓ 净流出
*ST海利,-0.02,2026-05-14,↓ 净流出
栖霞建设,-0.02,2026-05-14,↓ 净流出
森林包装,-0.02,2026-05-14,↓ 净流出
新华文轩,-0.02,2026-05-14,↓ 净流出
北矿科技,-0.02,2026-05-14,↓ 净流出
重庆建工,-0.02,2026-05-14,↓ 净流出
五洲特纸,-0.02,2026-05-14,↓ 净流出
丽尚国潮,-0.02,2026-05-14,↓ 净流出
宜宾纸业,-0.02,2026-05-14,↓ 净流出
邦基科技,-0.02,2026-05-14,↓ 净流出
镇洋发展,-0.02,2026-05-14,↓ 净流出
万林物流,-0.02,2026-05-14,↓ 净流出
开开实业,-0.02,2026-05-14,↓ 净流出
天创时尚,-0.02,2026-05-14,↓ 净流出
昂立教育,-0.02,2026-05-14,↓ 净流出
黄山旅游,-0.02,2026-05-14,↓ 净流出
*ST九鼎,-0.02,2026-05-14,↓ 净流出
国邦医药,-0.02,2026-05-14,↓ 净流出
ST葫芦娃,-0.02,2026-05-14,↓ 净流出
豪悦护理,-0.02,2026-05-14,↓ 净流出
天新药业,-0.02,2026-05-14,↓ 净流出
陕建股份,-0.02,2026-05-14,↓ 净流出
*ST八钢,-0.02,2026-05-14,↓ 净流出
爱普股份,-0.02,2026-05-14,↓ 净流出
天目湖,-0.02,2026-05-14,↓ 净流出
德创环保,-0.02,2026-05-14,↓ 净流出
浙江龙盛,-0.02,2026-05-14,↓ 净流出
钱江生化,-0.02,2026-05-14,↓ 净流出
光明地产,-0.02,2026-05-14,↓ 净流出
楚天高速,-0.02,2026-05-14,↓ 净流出
联泰环保,-0.02,2026-05-14,↓ 净流出
徕木股份,-0.02,2026-05-14,↓ 净流出
中农立华,-0.02,2026-05-14,↓ 净流出
长江传媒,-0.02,2026-05-14,↓ 净流出
S佳通,-0.02,2026-05-14,↓ 净流出
康德莱,-0.02,2026-05-14,↓ 净流出
汉商集团,-0.02,2026-05-14,↓ 净流出
中化装备,-0.02,2026-05-14,↓ 净流出
新华网,-0.02,2026-05-14,↓ 净流出
津投城开,-0.02,2026-05-14,↓ 净流出
银座股份,-0.02,2026-05-14,↓ 净流出
个护小家电,-0.02,2026-05-14,↓ 净流出
泰禾智能,-0.02,2026-05-14,↓ 净流出
ST华扬,-0.02,2026-05-14,↓ 净流出
外高桥,-0.02,2026-05-14,↓ 净流出
恒丰纸业,-0.02,2026-05-14,↓ 净流出
化妆品制造及其他,-0.02,2026-05-14,↓ 净流出
安迪苏,-0.02,2026-05-14,↓ 净流出
济高发展,-0.02,2026-05-14,↓ 净流出
北巴传媒,-0.02,2026-05-14,↓ 净流出
凤凰传媒,-0.02,2026-05-14,↓ 净流出
苏豪弘业,-0.02,2026-05-14,↓ 净流出
广电网络,-0.02,2026-05-14,↓ 净流出
地素时尚,-0.02,2026-05-14,↓ 净流出
XD金麒麟,-0.02,2026-05-14,↓ 净流出
武汉控股,-0.02,2026-05-14,↓ 净流出
光明乳业,-0.02,2026-05-14,↓ 净流出
*ST长投,-0.02,2026-05-14,↓ 净流出
健民集团,-0.02,2026-05-14,↓ 净流出
渝农商行,-0.02,2026-05-14,↓ 净流出
绿城水务,-0.02,2026-05-14,↓ 净流出
联明股份,-0.02,2026-05-14,↓ 净流出
中国铝业,-0.02,2026-05-14,↓ 净流出
华纺股份,-0.03,2026-05-14,↓ 净流出
建研院,-0.03,2026-05-14,↓ 净流出
凯迪股份,-0.03,2026-05-14,↓ 净流出
正裕工业,-0.03,2026-05-14,↓ 净流出
中力股份,-0.03,2026-05-14,↓ 净流出
恒银科技,-0.03,2026-05-14,↓ 净流出
广州酒家,-0.03,2026-05-14,↓ 净流出
保税科技,-0.03,2026-05-14,↓ 净流出
正川股份,-0.03,2026-05-14,↓ 净流出
众辰科技,-0.03,2026-05-14,↓ 净流出
行动教育,-0.03,2026-05-14,↓ 净流出
美思德,-0.03,2026-05-14,↓ 净流出
南侨食品,-0.03,2026-05-14,↓ 净流出
西大门,-0.03,2026-05-14,↓ 净流出
鼎际得,-0.03,2026-05-14,↓ 净流出
广州发展,-0.03,2026-05-14,↓ 净流出
浙文影业,-0.03,2026-05-14,↓ 净流出
索宝蛋白,-0.03,2026-05-14,↓ 净流出
龙版传媒,-0.03,2026-05-14,↓ 净流出
钱江水利,-0.03,2026-05-14,↓ 净流出
东风科技,-0.03,2026-05-14,↓ 净流出
好太太,-0.03,2026-05-14,↓ 净流出
汇得科技,-0.03,2026-05-14,↓ 净流出
金帝股份,-0.03,2026-05-14,↓ 净流出
福元医药,-0.03,2026-05-14,↓ 净流出
嘉环科技,-0.03,2026-05-14,↓ 净流出
恒源煤电,-0.03,2026-05-14,↓ 净流出
风神股份,-0.03,2026-05-14,↓ 净流出
福龙马,-0.03,2026-05-14,↓ 净流出
中原高速,-0.03,2026-05-14,↓ 净流出
蔚蓝生物,-0.03,2026-05-14,↓ 净流出
江盐集团,-0.03,2026-05-14,↓ 净流出
威高血净,-0.03,2026-05-14,↓ 净流出
国机通用,-0.03,2026-05-14,↓ 净流出
大丰实业,-0.03,2026-05-14,↓ 净流出
大商股份,-0.03,2026-05-14,↓ 净流出
新澳股份,-0.03,2026-05-14,↓ 净流出
泉峰汽车,-0.03,2026-05-14,↓ 净流出
中际联合,-0.03,2026-05-14,↓ 净流出
爱慕股份,-0.03,2026-05-14,↓ 净流出
新疆天业,-0.03,2026-05-14,↓ 净流出
南方路机,-0.03,2026-05-14,↓ 净流出
桐昆股份,-0.03,2026-05-14,↓ 净流出
安图生物,-0.03,2026-05-14,↓ 净流出
天元智能,-0.03,2026-05-14,↓ 净流出
天马科技,-0.03,2026-05-14,↓ 净流出
文灿股份,-0.03,2026-05-14,↓ 净流出
仙鹤股份,-0.03,2026-05-14,↓ 净流出
香江控股,-0.03,2026-05-14,↓ 净流出
天正电气,-0.03,2026-05-14,↓ 净流出
克来机电,-0.03,2026-05-14,↓ 净流出
科华控股,-0.03,2026-05-14,↓ 净流出
威派格,-0.03,2026-05-14,↓ 净流出
丰山集团,-0.03,2026-05-14,↓ 净流出
大东方,-0.03,2026-05-14,↓ 净流出
灵康药业,-0.03,2026-05-14,↓ 净流出
医美服务,-0.03,2026-05-14,↓ 净流出
辅料,-0.03,2026-05-14,↓ 净流出
雪龙集团,-0.03,2026-05-14,↓ 净流出
日辰股份,-0.03,2026-05-14,↓ 净流出
康辰药业,-0.03,2026-05-14,↓ 净流出
海尔智家,-0.03,2026-05-14,↓ 净流出
民丰特纸,-0.03,2026-05-14,↓ 净流出
嘉友国际,-0.04,2026-05-14,↓ 净流出
开创国际,-0.04,2026-05-14,↓ 净流出
王力安防,-0.04,2026-05-14,↓ 净流出
潞化科技,-0.04,2026-05-14,↓ 净流出
国茂股份,-0.04,2026-05-14,↓ 净流出
江西长运,-0.04,2026-05-14,↓ 净流出
开滦股份,-0.04,2026-05-14,↓ 净流出
宝立食品,-0.04,2026-05-14,↓ 净流出
山东高速,-0.04,2026-05-14,↓ 净流出
伟时电子,-0.04,2026-05-14,↓ 净流出
维远股份,-0.04,2026-05-14,↓ 净流出
重庆燃气,-0.04,2026-05-14,↓ 净流出
浙版传媒,-0.04,2026-05-14,↓ 净流出
法狮龙,-0.04,2026-05-14,↓ 净流出
吉林高速,-0.04,2026-05-14,↓ 净流出
国光连锁,-0.04,2026-05-14,↓ 净流出
凌钢股份,-0.04,2026-05-14,↓ 净流出
万丰股份,-0.04,2026-05-14,↓ 净流出
亚星化学,-0.04,2026-05-14,↓ 净流出
大明电子,-0.04,2026-05-14,↓ 净流出
中南传媒,-0.04,2026-05-14,↓ 净流出
重百集团,-0.04,2026-05-14,↓ 净流出
宝钢包装,-0.04,2026-05-14,↓ 净流出
大参林,-0.04,2026-05-14,↓ 净流出
曲美家居,-0.04,2026-05-14,↓ 净流出
天富龙,-0.04,2026-05-14,↓ 净流出
友好集团,-0.04,2026-05-14,↓ 净流出
傲农生物,-0.04,2026-05-14,↓ 净流出
天润乳业,-0.04,2026-05-14,↓ 净流出
动力源,-0.04,2026-05-14,↓ 净流出
时代万恒,-0.04,2026-05-14,↓ 净流出
合力科技,-0.04,2026-05-14,↓ 净流出
苏豪时尚,-0.04,2026-05-14,↓ 净流出
申华控股,-0.04,2026-05-14,↓ 净流出
华设集团,-0.04,2026-05-14,↓ 净流出
亚邦股份,-0.04,2026-05-14,↓ 净流出
东贝集团,-0.04,2026-05-14,↓ 净流出
北元化工,-0.04,2026-05-14,↓ 净流出
福斯达,-0.04,2026-05-14,↓ 净流出
晨光股份,-0.04,2026-05-14,↓ 净流出
城市传媒,-0.04,2026-05-14,↓ 净流出
华创云信,-0.04,2026-05-14,↓ 净流出
中再资环,-0.04,2026-05-14,↓ 净流出
宿迁联盛,-0.04,2026-05-14,↓ 净流出
中国外运,-0.04,2026-05-14,↓ 净流出
圣达生物,-0.04,2026-05-14,↓ 净流出
海峡环保,-0.04,2026-05-14,↓ 净流出
永悦科技,-0.04,2026-05-14,↓ 净流出
*ST返利,-0.04,2026-05-14,↓ 净流出
派斯林,-0.04,2026-05-14,↓ 净流出
电魂网络,-0.04,2026-05-14,↓ 净流出
友发集团,-0.04,2026-05-14,↓ 净流出
华新精科,-0.04,2026-05-14,↓ 净流出
安乃达,-0.04,2026-05-14,↓ 净流出
内蒙新华,-0.04,2026-05-14,↓ 净流出
三元股份,-0.04,2026-05-14,↓ 净流出
建发股份,-0.04,2026-05-14,↓ 净流出
奥康国际,-0.04,2026-05-14,↓ 净流出
安阳钢铁,-0.04,2026-05-14,↓ 净流出
云中马,-0.05,2026-05-14,↓ 净流出
东安动力,-0.05,2026-05-14,↓ 净流出
ST宁科,-0.05,2026-05-14,↓ 净流出
顾家家居,-0.05,2026-05-14,↓ 净流出
永安行,-0.05,2026-05-14,↓ 净流出
阿科力,-0.05,2026-05-14,↓ 净流出
海阳科技,-0.05,2026-05-14,↓ 净流出
新日股份,-0.05,2026-05-14,↓ 净流出
金诚信,-0.05,2026-05-14,↓ 净流出
大龙地产,-0.05,2026-05-14,↓ 净流出
奥翔药业,-0.05,2026-05-14,↓ 净流出
国机汽车,-0.05,2026-05-14,↓ 净流出
亚通股份,-0.05,2026-05-14,↓ 净流出
*ST亿晶,-0.05,2026-05-14,↓ 净流出
新农开发,-0.05,2026-05-14,↓ 净流出
青岛港,-0.05,2026-05-14,↓ 净流出
均瑶健康,-0.05,2026-05-14,↓ 净流出
申达股份,-0.05,2026-05-14,↓ 净流出
大名城,-0.05,2026-05-14,↓ 净流出
读者传媒,-0.05,2026-05-14,↓ 净流出
健盛集团,-0.05,2026-05-14,↓ 净流出
祥和实业,-0.05,2026-05-14,↓ 净流出
海洋捕捞,-0.05,2026-05-14,↓ 净流出
洛凯股份,-0.05,2026-05-14,↓ 净流出
恒力石化,-0.05,2026-05-14,↓ 净流出
百隆东方,-0.05,2026-05-14,↓ 净流出
天士力,-0.05,2026-05-14,↓ 净流出
鲁北化工,-0.05,2026-05-14,↓ 净流出
渤海汽车,-0.05,2026-05-14,↓ 净流出
澄星股份,-0.05,2026-05-14,↓ 净流出
福建水泥,-0.05,2026-05-14,↓ 净流出
其他石化,-0.05,2026-05-14,↓ 净流出
茶花股份,-0.05,2026-05-14,↓ 净流出
赣粤高速,-0.05,2026-05-14,↓ 净流出
三星新材,-0.05,2026-05-14,↓ 净流出
普莱柯,-0.05,2026-05-14,↓ 净流出
蓝科高新,-0.05,2026-05-14,↓ 净流出
首创环保,-0.05,2026-05-14,↓ 净流出
*ST起步,-0.05,2026-05-14,↓ 净流出
西上海,-0.05,2026-05-14,↓ 净流出
鲁银投资,-0.06,2026-05-14,↓ 净流出
中储股份,-0.06,2026-05-14,↓ 净流出
英利汽车,-0.06,2026-05-14,↓ 净流出
维力医疗,-0.06,2026-05-14,↓ 净流出
*ST景谷,-0.06,2026-05-14,↓ 净流出
快克智能,-0.06,2026-05-14,↓ 净流出
卓郎智能,-0.06,2026-05-14,↓ 净流出
唐山港,-0.06,2026-05-14,↓ 净流出
同济科技,-0.06,2026-05-14,↓ 净流出
小方制药,-0.06,2026-05-14,↓ 净流出
*ST海钦,-0.06,2026-05-14,↓ 净流出
中国出版,-0.06,2026-05-14,↓ 净流出
志邦家居,-0.06,2026-05-14,↓ 净流出
翔港科技,-0.06,2026-05-14,↓ 净流出
金杯汽车,-0.06,2026-05-14,↓ 净流出
九华旅游,-0.06,2026-05-14,↓ 净流出
宝地矿业,-0.06,2026-05-14,↓ 净流出
超市,-0.06,2026-05-14,↓ 净流出
亚通精工,-0.06,2026-05-14,↓ 净流出
嘉化能源,-0.06,2026-05-14,↓ 净流出
中华企业,-0.06,2026-05-14,↓ 净流出
房地产综合服务,-0.06,2026-05-14,↓ 净流出
珠江股份,-0.06,2026-05-14,↓ 净流出
时空科技,-0.06,2026-05-14,↓ 净流出
珠免集团,-0.06,2026-05-14,↓ 净流出
良品铺子,-0.06,2026-05-14,↓ 净流出
*ST天择,-0.06,2026-05-14,↓ 净流出
秦港股份,-0.06,2026-05-14,↓ 净流出
金枫酒业,-0.06,2026-05-14,↓ 净流出
建元信托,-0.06,2026-05-14,↓ 净流出
华达科技,-0.06,2026-05-14,↓ 净流出
赛福天,-0.06,2026-05-14,↓ 净流出
厦门空港,-0.06,2026-05-14,↓ 净流出
天目药业,-0.06,2026-05-14,↓ 净流出
光大嘉宝,-0.06,2026-05-14,↓ 净流出
重庆路桥,-0.06,2026-05-14,↓ 净流出
浙江东日,-0.06,2026-05-14,↓ 净流出
亚普股份,-0.06,2026-05-14,↓ 净流出
*ST京化,-0.06,2026-05-14,↓ 净流出
伟明环保,-0.06,2026-05-14,↓ 净流出
博汇纸业,-0.06,2026-05-14,↓ 净流出
海利尔,-0.06,2026-05-14,↓ 净流出
老百姓,-0.06,2026-05-14,↓ 净流出
陕鼓动力,-0.06,2026-05-14,↓ 净流出
诚邦股份,-0.06,2026-05-14,↓ 净流出
创新新材,-0.06,2026-05-14,↓ 净流出
汇嘉时代,-0.06,2026-05-14,↓ 净流出
东方环宇,-0.06,2026-05-14,↓ 净流出
新世界,-0.07,2026-05-14,↓ 净流出
中青旅,-0.07,2026-05-14,↓ 净流出
聚合顺,-0.07,2026-05-14,↓ 净流出
老凤祥,-0.07,2026-05-14,↓ 净流出
璞源材料,-0.07,2026-05-14,↓ 净流出
健康元,-0.07,2026-05-14,↓ 净流出
重庆水务,-0.07,2026-05-14,↓ 净流出
中盐化工,-0.07,2026-05-14,↓ 净流出
*ST湘邮,-0.07,2026-05-14,↓ 净流出
鼎龙科技,-0.07,2026-05-14,↓ 净流出
华润双鹤,-0.07,2026-05-14,↓ 净流出
中铝国际,-0.07,2026-05-14,↓ 净流出
君禾股份,-0.07,2026-05-14,↓ 净流出
常熟汽饰,-0.07,2026-05-14,↓ 净流出
晋西车轴,-0.07,2026-05-14,↓ 净流出
千金药业,-0.07,2026-05-14,↓ 净流出
北辰实业,-0.07,2026-05-14,↓ 净流出
易德龙,-0.07,2026-05-14,↓ 净流出
江瀚新材,-0.07,2026-05-14,↓ 净流出
盛泰集团,-0.07,2026-05-14,↓ 净流出
ST通脉,-0.07,2026-05-14,↓ 净流出
*ST亚振,-0.07,2026-05-14,↓ 净流出
森特股份,-0.07,2026-05-14,↓ 净流出
清源股份,-0.07,2026-05-14,↓ 净流出
康隆达,-0.07,2026-05-14,↓ 净流出
ST洲际,-0.07,2026-05-14,↓ 净流出
上海九百,-0.07,2026-05-14,↓ 净流出
畅联股份,-0.07,2026-05-14,↓ 净流出
松炀资源,-0.07,2026-05-14,↓ 净流出
陕西煤业,-0.07,2026-05-14,↓ 净流出
野马电池,-0.07,2026-05-14,↓ 净流出
西典新能,-0.07,2026-05-14,↓ 净流出
中海油服,-0.07,2026-05-14,↓ 净流出
柯力传感,-0.07,2026-05-14,↓ 净流出
金石资源,-0.07,2026-05-14,↓ 净流出
艾华集团,-0.07,2026-05-14,↓ 净流出
中牧股份,-0.07,2026-05-14,↓ 净流出
永吉股份,-0.07,2026-05-14,↓ 净流出
山西汾酒,-0.07,2026-05-14,↓ 净流出
北京人力,-0.07,2026-05-14,↓ 净流出
ST太重,-0.07,2026-05-14,↓ 净流出
长久物流,-0.07,2026-05-14,↓ 净流出
敦煌种业,-0.07,2026-05-14,↓ 净流出
广汇物流,-0.07,2026-05-14,↓ 净流出
先达股份,-0.07,2026-05-14,↓ 净流出
浦东建设,-0.07,2026-05-14,↓ 净流出
厦门象屿,-0.07,2026-05-14,↓ 净流出
康普顿,-0.07,2026-05-14,↓ 净流出
汇通控股,-0.07,2026-05-14,↓ 净流出
众鑫股份,-0.07,2026-05-14,↓ 净流出
ST通葡,-0.07,2026-05-14,↓ 净流出
九州通,-0.07,2026-05-14,↓ 净流出
金陵饭店,-0.07,2026-05-14,↓ 净流出
杰克科技,-0.07,2026-05-14,↓ 净流出
正和生态,-0.07,2026-05-14,↓ 净流出
歌力思,-0.07,2026-05-14,↓ 净流出
红四方,-0.08,2026-05-14,↓ 净流出
菜百股份,-0.08,2026-05-14,↓ 净流出
陕西旅游,-0.08,2026-05-14,↓ 净流出
宏辉果蔬,-0.08,2026-05-14,↓ 净流出
三峡新材,-0.08,2026-05-14,↓ 净流出
新华传媒,-0.08,2026-05-14,↓ 净流出
红塔证券,-0.08,2026-05-14,↓ 净流出
海天股份,-0.08,2026-05-14,↓ 净流出
新华医疗,-0.08,2026-05-14,↓ 净流出
茂业商业,-0.08,2026-05-14,↓ 净流出
天永智能,-0.08,2026-05-14,↓ 净流出
海通发展,-0.08,2026-05-14,↓ 净流出
上海港湾,-0.08,2026-05-14,↓ 净流出
百龙创园,-0.08,2026-05-14,↓ 净流出
洪城环境,-0.08,2026-05-14,↓ 净流出
中创物流,-0.08,2026-05-14,↓ 净流出
寿仙谷,-0.08,2026-05-14,↓ 净流出
华北制药,-0.08,2026-05-14,↓ 净流出
山鹰国际,-0.08,2026-05-14,↓ 净流出
维维股份,-0.08,2026-05-14,↓ 净流出
贵航股份,-0.08,2026-05-14,↓ 净流出
如通股份,-0.08,2026-05-14,↓ 净流出
渤海化学,-0.08,2026-05-14,↓ 净流出
柳药集团,-0.08,2026-05-14,↓ 净流出
圆通速递,-0.08,2026-05-14,↓ 净流出
春光科技,-0.08,2026-05-14,↓ 净流出
龙头股份,-0.08,2026-05-14,↓ 净流出
紫燕食品,-0.08,2026-05-14,↓ 净流出
广深铁路,-0.08,2026-05-14,↓ 净流出
*ST大晟,-0.08,2026-05-14,↓ 净流出
博隆技术,-0.08,2026-05-14,↓ 净流出
新凤鸣,-0.08,2026-05-14,↓ 净流出
万向德农,-0.08,2026-05-14,↓ 净流出
中交设计,-0.08,2026-05-14,↓ 净流出
宁波富达,-0.08,2026-05-14,↓ 净流出
澳弘电子,-0.08,2026-05-14,↓ 净流出
中新集团,-0.08,2026-05-14,↓ 净流出
安记食品,-0.09,2026-05-14,↓ 净流出
福达股份,-0.09,2026-05-14,↓ 净流出
全筑股份,-0.09,2026-05-14,↓ 净流出
星湖科技,-0.09,2026-05-14,↓ 净流出
金健米业,-0.09,2026-05-14,↓ 净流出
纽威股份,-0.09,2026-05-14,↓ 净流出
辽港股份,-0.09,2026-05-14,↓ 净流出
益民集团,-0.09,2026-05-14,↓ 净流出
广汽集团,-0.09,2026-05-14,↓ 净流出
德宏股份,-0.09,2026-05-14,↓ 净流出
鹏欣资源,-0.09,2026-05-14,↓ 净流出
沪农商行,-0.09,2026-05-14,↓ 净流出
华立股份,-0.09,2026-05-14,↓ 净流出
吉华集团,-0.09,2026-05-14,↓ 净流出
信达地产,-0.09,2026-05-14,↓ 净流出
山东出版,-0.09,2026-05-14,↓ 净流出
东航物流,-0.09,2026-05-14,↓ 净流出
江山股份,-0.09,2026-05-14,↓ 净流出
怡球资源,-0.09,2026-05-14,↓ 净流出
太极集团,-0.09,2026-05-14,↓ 净流出
神力股份,-0.09,2026-05-14,↓ 净流出
中源家居,-0.09,2026-05-14,↓ 净流出
福瑞达,-0.09,2026-05-14,↓ 净流出
坤彩科技,-0.09,2026-05-14,↓ 净流出
*ST柳化,-0.09,2026-05-14,↓ 净流出
福建高速,-0.09,2026-05-14,↓ 净流出
福鞍股份,-0.09,2026-05-14,↓ 净流出
华泰证券,-0.10,2026-05-14,↓ 净流出
辰欣药业,-0.10,2026-05-14,↓ 净流出
鞋帽及其他,-0.10,2026-05-14,↓ 净流出
卫浴制品,-0.10,2026-05-14,↓ 净流出
*ST尼雅,-0.10,2026-05-14,↓ 净流出
卧龙新能,-0.10,2026-05-14,↓ 净流出
合兴股份,-0.10,2026-05-14,↓ 净流出
华丰股份,-0.10,2026-05-14,↓ 净流出
美凯龙,-0.10,2026-05-14,↓ 净流出
苏垦农发,-0.10,2026-05-14,↓ 净流出
冰洗,-0.10,2026-05-14,↓ 净流出
景津装备,-0.10,2026-05-14,↓ 净流出
国检集团,-0.10,2026-05-14,↓ 净流出
*ST华幸,-0.10,2026-05-14,↓ 净流出
陆家嘴,-0.10,2026-05-14,↓ 净流出
大众交通,-0.10,2026-05-14,↓ 净流出
浙江自然,-0.10,2026-05-14,↓ 净流出
莱克电气,-0.10,2026-05-14,↓ 净流出
天味食品,-0.10,2026-05-14,↓ 净流出
众望布艺,-0.10,2026-05-14,↓ 净流出
广电电气,-0.10,2026-05-14,↓ 净流出
苏利股份,-0.10,2026-05-14,↓ 净流出
中油工程,-0.10,2026-05-14,↓ 净流出
多伦科技,-0.10,2026-05-14,↓ 净流出
全柴动力,-0.10,2026-05-14,↓ 净流出
密尔克卫,-0.10,2026-05-14,↓ 净流出
动力新科,-0.10,2026-05-14,↓ 净流出
方盛制药,-0.10,2026-05-14,↓ 净流出
人力资源服务,-0.10,2026-05-14,↓ 净流出
音飞储存,-0.10,2026-05-14,↓ 净流出
